id,name,weight_kg,l,b,h,stackable,max_stack,adr,adr_class
1034,skipspalle,2900,1.60,1.50,1.20,false,10,false,
1035,skipspalle,2900,1.60,1.50,1.20,true,10,false,
1036,skipspalle,1000,1.60,1.25,0.57,true,10,false,
1037,skipspalle,650,1.60,1.40,0.47,true,10,false,
1038,europall,200,1.20,0.80,0.40,true,10,false,
1039,PALLE,191,1.20,0.80,0.49,true,10,false,
1040,PALLE,439,1.20,0.80,0.79,true,10,false,
1041,PALLE,360,1.20,0.80,0.53,true,10,false,
1050,medium_box,350,1.00,0.80,0.60,true,8,false,
1051,medium_container,420,1.10,0.90,0.70,true,8,false,
1052,half_pallet,250,0.80,0.60,0.70,true,8,false,
1053,carton,180,1.05,0.85,0.65,true,8,false,
1054,crate,330,1.10,0.75,0.80,true,8,false,
1014,palle,130,1.20,0.80,0.54,true,10,false,
1015,palle,150,1.20,0.80,0.42,true,10,false,
1031,kolli,950,1.50,1.20,0.90,true,10,false,
1032,kolli,550,2.15,2.15,0.80,true,10,false,
1033,kolli lukket bil,109,0.80,0.60,0.55,true,10,false,
1099,kolli,550,2.15,0.3,0.80,true,10,false,
2001,europallet,800,1.20,0.80,1.20,true,6,false,
2002,europallet,950,1.20,0.80,1.15,true,6,false,
2003,chep_pallet,1100,1.20,1.00,1.40,true,5,false,
2004,alcohol_box,15,0.40,0.30,0.25,true,20,true,3
2005,cement_bag,25,0.60,0.40,0.20,false,8,false,
2006,large_container,1600,2.44,1.10,2.20,false,2,false,
2007,standard_barrel,200,0.60,0.60,0.88,true,2,true,3
2008,ibc_tank,950,1.20,1.00,1.16,true,1,true,8
2009,cartboard_box_large,30,0.80,0.60,0.50,true,15,false,
2010,cartboard_box_small,8,0.40,0.30,0.20,true,35,false,
2011,plastic_crate,10,0.60,0.40,0.30,true,25,false,
2012,pharma_box,5,0.40,0.30,0.18,true,50,true,6
2013,paint_bucket,23,0.32,0.32,0.38,true,10,true,3
2014,tyre,10,0.60,0.15,0.60,true,1,false,
2015,wooden_spool,85,1.20,0.40,0.50,true,5,false,
2016,heavy_machinery,3400,2.50,2.00,1.30,true,10,false,
2017,refrigerated_pallet,800,1.20,0.80,2.00,true,2,false,
2018,gas_cylinder,48,0.35,0.35,1.44,true,10,true,
2019,auto_part_pallet,325,1.10,0.90,0.85,true,8,false,
2020,bottle_rack,60,1.00,0.80,1.50,true,10,false,
2021,construction_box,70,0.90,0.70,0.40,true,20,false,
2022,paper_roll,120,1.00,0.80,1.10,true,4,false,
2023,textile_bale,58,1.10,0.70,0.45,true,10,false,
2024,electronics_crate,94,0.80,0.70,0.65,true,10,false,
2025,chemicals_jerrycan,22,0.28,0.23,0.46,true,24,true,
2026,beverage_pallet,825,1.20,0.80,1.50,false,3,false,
2027,oil_drum,205,0.60,0.60,0.89,true,4,true,3
2028,glass_sheet_case,250,2.20,1.60,0.22,true,3,false,
2029,steel_pipe_bundle,550,4.00,0.60,0.32,true,1,false,
2030,roof_tile_pallet,980,1.20,1.00,1.05,true,3,false,
2031,plastic_basket,12,0.57,0.37,0.27,true,30,false,
2032,thermal_pallet,720,1.10,0.80,1.80,true,2,false,
2033,printer_paper_box,18,0.48,0.33,0.25,true,40,false,
2043,fruit_crate,18,0.52,0.36,0.27,true,28,false,
2044,sofa_couch,84,2.10,0.95,0.78,false,2,false,
2045,mattress,30,2.00,0.90,0.27,true,3,false,
2046,window_unit,65,1.80,1.20,0.13,true,4,false,
2047,bathroom_fixture,52,0.98,0.66,0.47,true,6,false,
2048,latex_paint_pallet,420,1.15,0.90,0.98,true,4,true,
2049,frozen_food_box,25,0.49,0.31,0.22,true,30,false,
2050,fire_extinguisher,9,0.52,0.22,0.18,true,48,true,
